Columna: Versión
  Marca: alfaromeo | Modelo: stelvio | Versión: ferrari quadrifoglio -> 0
  Marca: alfaromeo | Modelo: stelvio | Versión: new tributo italiano -> 1
  Marca: alfaromeo | Modelo: stelvio | Versión: q4 veloce -> 2
  Marca: audi | Modelo: q2 | Versión: tfsi sport -> 3
  Marca: audi | Modelo: q3 | Versión: i -> 4
  Marca: audi | Modelo: q3 | Versión: sportback -> 5
  Marca: audi | Modelo: q3 | Versión: tfsi -> 6
  Marca: audi | Modelo: q5 | Versión: i -> 7
  Marca: audi | Modelo: q5 | Versión: security l18 -> 8
  Marca: audi | Modelo: q5 | Versión: tfsi -> 9
  Marca: audi | Modelo: q5sportback | Versión: 45tfsi s sline -> 10
  Marca: audi | Modelo: q7 | Versión: tdi -> 11
  Marca: audi | Modelo: q7 | Versión: tfsi -> 12
  Marca: audi | Modelo: q8 | Versión: tfsi -> 13
  Marca: audi | Modelo: sq5 | Versión: tfsi -> 14
  Marca: baic | Modelo: x25 | Versión: elite -> 15
  Marca: baic | Modelo: x35 | Versión: confort turbo -> 16
  Marca: baic | Modelo: x35 | Versión: luxury -> 17
  Marca: baic | Modelo: x55 | Versión: beijing -> 18
  Marca: baic | Modelo: x55 | Versión: elite -> 19
  Marca: baic | Modelo: x55 | Versión: honor -> 20
  Marca: baic | Modelo: x55 | Versión: ii luxury -> 21
  Marca: baic | Modelo: x55 | Versión: il -> 22
  Marca: baic | Modelo: x55 | Versión: plus -> 23
  Marca: bmw | Modelo: x1 | Versión: 18i okm 2025 -> 24
  Marca: bmw | Modelo: x1 | Versión: 20d active -> 25
  Marca: bmw | Modelo: x1 | Versión: 25e -> 26
  Marca: bmw | Modelo: x1 | Versión: 25i xline -> 27
  Marca: bmw | Modelo: x1 | Versión: 28i executive -> 28
  Marca: bmw | Modelo: x1 | Versión: i -> 29
  Marca: bmw | Modelo: x1 | Versión: sdrive 20i sportline -> 30
  Marca: bmw | Modelo: x3 | Versión: 25si selective -> 31
  Marca: bmw | Modelo: x3 | Versión: 30e -> 32
  Marca: bmw | Modelo: x3 | Versión: 30i xline -> 33
  Marca: bmw | Modelo: x3 | Versión: 35i executive -> 34
  Marca: bmw | Modelo: x3 | Versión: advantage l -> 35
  Marca: bmw | Modelo: x3 | Versión: i -> 36
  Marca: bmw | Modelo: x3 | Versión: m40i mperformance -> 37
  Marca: bmw | Modelo: x3 | Versión: m50 -> 38
  Marca: bmw | Modelo: x3 | Versión: si limited edition blindada br3 360 -> 39
  Marca: bmw | Modelo: x3 | Versión: x3m competition -> 40
