Marca,Modelo,Año,Versión,Color,Tipo de combustible,Motor,tiene_camara,Kilómetros,Precio,Tipo de vendedor,HP,is_4x4,is_manual,is_coupe
25,43,2019.0,227,23,3,1.6,1.0,49800.0,20400.0,0,120.0,0,0,0
13,22,2010.0,123,19,3,2.4,0.0,236000.0,13000.0,1,185.0,1,0,0
20,75,2012.0,186,22,3,2.4,1.0,220000.0,13600.0,1,185.0,0,0,0
25,43,2021.0,229,23,3,1.6,0.0,30083.0,20640.0,0,120.0,0,1,0
5,96,2016.0,73,23,3,1.8,1.0,90000.0,15440.0,0,140.0,1,0,0
17,69,2018.0,168,19,3,1.8,1.0,64000.0,21900.0,1,140.0,0,0,0
4,89,2017.0,53,19,3,1.6,0.0,132500.0,12720.0,2,125.0,0,1,0
3,102,2018.0,30,4,3,2.0,1.0,75000.0,35000.0,1,192.0,1,1,0
13,22,2007.0,121,14,3,2.4,0.0,182000.0,11520.0,0,185.0,1,0,0
5,96,2024.0,77,23,3,1.2,1.0,0.0,22455.0,0,132.0,1,1,0
32,39,2022.0,324,4,0,2.8,1.0,56000.0,55000.0,1,177.0,1,0,0
11,28,2020.0,108,14,3,1.5,1.0,67642.0,17600.0,0,123.0,0,0,0
2,105,2023.0,16,4,3,1.5,1.0,0.0,24900.0,2,148.0,0,0,0
20,78,2019.0,192,4,3,2.0,1.0,106300.0,23600.0,0,154.0,0,0,0
11,28,2010.0,105,19,3,1.6,0.0,150000.0,8800.0,0,110.0,0,1,0
11,46,2014.0,113,22,3,1.6,1.0,135000.0,16800.0,0,180.0,1,0,0
32,81,2021.0,340,22,0,2.8,1.0,60000.0,42000.0,0,204.0,1,0,0
11,28,2018.0,108,4,3,1.5,1.0,63000.0,18560.0,2,123.0,0,1,0
14,99,2017.0,139,4,3,2.0,1.0,73695.0,21840.0,0,154.0,0,1,0
3,102,2017.0,30,4,3,2.0,1.0,84900.0,32900.0,2,192.0,1,1,0
25,43,2021.0,228,23,3,1.6,1.0,76000.0,24000.0,1,120.0,1,0,0
32,39,2014.0,323,19,3,2.7,1.0,160000.0,27040.0,0,171.0,0,1,0
17,69,2020.0,170,14,3,1.8,1.0,51000.0,22999.0,1,170.0,0,0,0
17,18,2022.0,158,4,0,2.0,1.0,22836.0,43200.0,1,272.0,1,0,0
5,96,2023.0,73,14,3,1.2,1.0,52000.0,20800.0,2,132.0,1,0,0
17,19,2025.0,162,19,3,1.3,1.0,0.0,36400.0,0,170.0,0,0,0
25,43,2025.0,227,23,3,1.6,0.0,0.0,24440.0,0,120.0,0,0,0
14,99,2010.0,144,14,3,2.0,1.0,121000.0,14000.0,0,154.0,1,0,0
28,26,2025.0,276,14,3,1.3,1.0,0.0,28400.0,0,155.0,1,1,0
5,96,2021.0,73,14,3,1.2,1.0,43000.0,23600.0,0,132.0,1,0,0
14,99,2017.0,142,22,3,2.0,0.0,90000.0,27500.0,0,154.0,0,1,0
17,35,2024.0,164,19,3,3.6,0.0,0.0,126000.0,0,293.0,1,0,0
5,96,2024.0,73,19,3,1.2,1.0,6000.0,28000.0,1,132.0,1,0,0
13,40,2025.0,126,14,3,1.5,1.0,0.0,37200.0,0,121.0,0,0,0
32,39,2011.0,323,4,0,3.0,0.0,230000.0,23200.0,0,171.0,1,1,0
33,83,2025.0,348,4,3,1.0,1.0,0.0,24792.0,0,101.0,0,0,0
14,73,2008.0,136,19,0,2.2,1.0,275000.0,11500.0,1,190.0,1,1,0
17,18,2023.0,158,4,0,2.0,0.0,0.0,40800.0,0,272.0,1,0,0
6,10,2022.0,91,4,3,1.6,1.0,85000.0,21000.0,0,165.0,0,0,0
5,96,2014.0,73,22,3,1.8,0.0,115500.0,13100.0,0,140.0,0,1,0
20,74,2023.0,183,4,3,1.6,0.0,24100.0,27200.0,0,132.0,0,0,0
10,60,2024.0,101,14,3,1.3,1.0,0.0,21185.0,2,155.0,0,0,0
5,96,2021.0,77,14,3,1.2,1.0,59000.0,23200.0,0,132.0,1,0,0
6,10,2022.0,90,19,3,1.6,1.0,26674.0,19120.0,0,165.0,0,0,0
17,69,2023.0,170,14,3,1.8,1.0,39000.0,23200.0,1,170.0,0,0,0
1,63,2024.0,9,14,3,2.0,1.0,0.0,77800.0,2,245.0,1,0,0
5,96,2024.0,77,19,3,1.2,1.0,1000.0,22016.0,2,132.0,1,0,0
32,68,2010.0,336,14,3,2.4,0.0,193000.0,13600.0,0,177.0,0,0,0
32,39,2025.0,325,19,0,2.8,0.0,0.0,63200.0,0,204.0,1,0,0
17,19,2021.0,160,4,0,2.0,1.0,38000.0,35500.0,1,272.0,1,1,0
11,28,2020.0,107,22,3,1.5,0.0,68000.0,17400.0,1,123.0,0,1,0
28,27,2016.0,280,19,3,1.6,0.0,105000.0,14320.0,2,110.0,0,1,0
32,20,2025.0,318,19,3,2.0,1.0,1000.0,34000.0,0,170.0,0,0,0
25,43,2018.0,228,14,3,1.6,1.0,89000.0,21900.0,0,120.0,1,0,0
5,97,2025.0,81,19,0,2.8,1.0,0.0,47520.0,2,200.0,1,0,0
33,83,2025.0,348,4,3,1.0,1.0,0.0,24792.0,2,101.0,0,0,0
14,99,2013.0,144,28,3,2.0,0.0,139000.0,16000.0,1,154.0,1,0,0
32,81,2023.0,340,14,0,2.8,1.0,50000.0,54000.0,0,204.0,1,0,0
1,63,2017.0,9,4,3,2.0,1.0,133000.0,33000.0,0,225.0,1,0,0
5,96,2018.0,73,4,3,1.8,1.0,104000.0,15520.0,0,140.0,1,1,0
5,96,2017.0,73,23,3,1.8,1.0,81500.0,18000.0,1,140.0,1,0,0
5,96,2021.0,73,4,3,1.2,1.0,56000.0,20800.0,2,132.0,1,0,0
17,19,2021.0,160,4,3,2.4,1.0,104524.0,25600.0,0,170.0,1,1,0
28,27,2017.0,280,14,3,1.6,0.0,104500.0,14000.0,1,110.0,0,1,0
25,43,2018.0,228,19,3,1.6,1.0,87000.0,20632.0,0,120.0,1,0,0
33,82,2025.0,346,14,3,1.4,1.0,0.0,29680.0,2,150.0,0,0,0
5,96,2025.0,77,14,3,1.2,0.0,0.0,21600.0,2,132.0,1,0,0
26,0,2025.0,242,22,3,1.6,1.0,999.0,27200.0,0,115.0,0,1,0
31,41,2022.0,302,14,3,1.5,1.0,17000.0,38500.0,0,123.0,1,0,1
33,95,2018.0,357,4,3,1.4,0.0,130020.0,23200.0,2,150.0,1,0,0
13,22,2000.0,124,4,3,2.0,0.0,211000.0,8400.0,0,148.0,1,1,0
28,26,2016.0,275,22,3,1.6,1.0,126000.0,13280.0,0,110.0,0,1,0
32,39,2022.0,325,14,0,2.8,1.0,55000.0,48800.0,1,177.0,1,0,0
17,35,2019.0,166,23,3,6.4,0.0,47000.0,125000.0,1,465.0,1,0,0
2,108,2019.0,19,19,3,1.5,0.0,102000.0,16800.0,1,185.0,0,0,0
11,46,2017.0,112,4,3,2.0,0.0,100000.0,20800.0,0,143.0,1,0,0
6,10,2018.0,90,4,3,1.2,0.0,100000.0,15000.0,1,165.0,0,0,0
26,0,2018.0,246,14,3,1.6,1.0,87000.0,16000.0,1,110.0,1,1,0
11,28,2014.0,107,19,3,1.6,0.0,118500.0,10960.0,1,110.0,0,1,0
33,82,2022.0,346,14,3,1.4,1.0,47000.0,32000.0,1,150.0,0,0,0
11,28,2017.0,107,11,3,1.6,0.0,85000.0,14000.0,2,110.0,0,1,0
32,20,2024.0,319,14,3,2.0,1.0,1000.0,37000.0,0,170.0,0,0,0
32,81,2017.0,340,14,0,2.8,1.0,108000.0,38500.0,1,177.0,1,1,0
17,69,2020.0,168,19,3,1.8,1.0,65000.0,23900.0,0,175.0,0,0,0
5,96,2017.0,74,19,3,1.8,1.0,51000.0,17440.0,1,140.0,1,1,0
14,99,2019.0,148,4,3,2.0,1.0,54000.0,26900.0,2,154.0,0,0,0
11,28,2015.0,103,4,3,2.0,0.0,120000.0,14000.0,0,143.0,1,1,0
33,83,2025.0,348,14,3,1.0,1.0,0.0,24792.0,2,101.0,0,1,0
13,40,2017.0,126,4,3,1.8,1.0,86000.0,19600.0,1,121.0,0,0,0
33,82,2025.0,346,22,3,1.4,1.0,0.0,30400.0,2,150.0,0,0,0
3,104,2017.0,33,19,3,2.0,0.0,110000.0,35000.0,1,245.0,1,1,0
11,86,2025.0,115,19,3,1.8,1.0,0.0,39680.0,2,105.0,1,0,0
28,26,2016.0,275,4,3,1.6,1.0,142000.0,13040.0,0,110.0,0,1,0
11,28,2014.0,108,4,3,2.0,0.0,108000.0,13500.0,1,143.0,0,1,0
14,99,2013.0,144,4,3,2.0,0.0,138500.0,13270.0,0,154.0,0,1,0
32,39,2011.0,323,14,0,3.0,0.0,160000.0,23500.0,1,171.0,1,1,0
3,107,2025.0,48,14,2,3.0,0.0,0.0,179900.0,0,306.0,1,1,0
3,107,2006.0,45,14,0,3.0,0.0,236000.0,11500.0,0,306.0,1,1,0
25,111,2008.0,238,19,0,2.8,0.0,292000.0,16500.0,1,177.0,1,1,0
32,68,2017.0,334,14,3,2.5,0.0,98000.0,28000.0,0,170.0,0,0,0
5,96,2024.0,73,14,3,1.2,0.0,0.0,24784.0,2,132.0,1,0,0
13,22,2025.0,121,22,3,1.5,0.0,4000.0,54000.0,1,185.0,0,0,0
28,26,2025.0,276,14,3,1.3,1.0,900.0,24160.0,0,155.0,1,1,0
17,19,2019.0,161,19,3,2.4,1.0,73000.0,26400.0,1,170.0,0,1,0
26,0,2018.0,249,14,3,1.6,1.0,75000.0,14800.0,2,110.0,0,1,0
20,76,2011.0,187,3,3,1.6,1.0,168000.0,11040.0,0,132.0,0,1,0
25,43,2024.0,228,14,3,1.6,1.0,4700.0,28800.0,1,120.0,1,0,0
4,91,2023.0,56,8,3,1.5,0.0,14500.0,23000.0,2,185.0,0,1,0
17,69,2021.0,170,14,3,1.8,1.0,104000.0,21200.0,2,170.0,0,1,0
28,26,2014.0,269,23,3,1.6,0.0,188000.0,11920.0,0,110.0,0,1,0
33,82,2025.0,346,22,3,1.0,1.0,0.0,29840.0,2,101.0,0,0,0
13,40,2024.0,126,4,3,1.5,1.0,0.0,38000.0,0,121.0,0,0,0
11,28,2015.0,107,4,3,1.6,0.0,110000.0,13150.0,0,110.0,0,1,0
25,43,2020.0,230,4,3,1.6,1.0,63857.0,22360.0,1,120.0,0,0,0
26,0,2025.0,243,4,3,1.0,1.0,0.0,27920.0,2,120.0,1,0,0
26,0,2018.0,243,22,3,1.6,0.0,111000.0,14640.0,1,110.0,1,1,0
24,56,2013.0,226,19,3,2.0,0.0,172000.0,16000.0,0,150.0,1,0,0
26,0,2017.0,249,4,3,1.6,1.0,96500.0,17200.0,0,110.0,0,1,0
33,82,2025.0,346,22,3,1.4,1.0,0.0,29840.0,2,150.0,0,0,0
4,89,2016.0,53,4,3,1.6,1.0,130000.0,14000.0,1,125.0,0,1,0
11,28,2014.0,103,14,3,1.6,0.0,157000.0,12320.0,0,110.0,0,1,0
33,83,2024.0,348,4,3,1.0,0.0,0.0,28464.0,0,116.0,0,0,0
5,96,2016.0,73,23,3,1.8,1.0,111354.0,15040.0,0,140.0,1,0,0
20,78,2018.0,192,14,3,2.0,1.0,48000.0,27990.0,0,154.0,1,0,0
33,54,2021.0,345,4,3,1.0,0.0,86000.0,21040.0,0,101.0,0,0,0
25,43,2023.0,229,4,3,1.6,0.0,24495.0,22400.0,0,120.0,0,1,0
17,69,2017.0,170,19,3,1.8,1.0,102000.0,17800.0,1,140.0,0,1,0
8,42,2011.0,95,19,3,2.4,1.0,157800.0,11800.0,0,170.0,1,0,0
17,69,2025.0,169,19,3,1.3,1.0,0.0,32800.0,2,170.0,0,0,0
17,69,2023.0,168,4,3,2.4,0.0,1000.0,36800.0,0,170.0,0,0,0
20,78,2024.0,195,14,3,1.6,0.0,0.0,61899.0,0,115.0,1,0,0
11,28,2010.0,109,14,3,2.0,0.0,248000.0,8900.0,1,143.0,0,0,0
14,99,2017.0,139,14,3,2.0,1.0,156000.0,21000.0,1,154.0,0,1,0
28,26,2015.0,275,19,3,1.6,0.0,117510.0,9440.0,1,110.0,0,1,0
23,14,2025.0,212,19,3,1.3,1.0,0.0,65000.0,0,163.0,1,0,0
17,69,2023.0,172,14,3,1.3,0.0,13000.0,39200.0,0,175.0,1,0,0
17,19,2013.0,161,19,3,2.4,1.0,146000.0,14700.0,1,170.0,0,0,0
11,28,2018.0,107,23,3,2.0,1.0,51815.0,16600.0,1,170.0,0,1,0
32,20,2021.0,317,4,2,1.8,1.0,42000.0,31600.0,0,170.0,0,0,0
5,96,2023.0,77,4,3,1.2,0.0,49800.0,22800.0,0,132.0,1,0,0
33,82,2025.0,346,22,3,1.4,1.0,0.0,29840.0,2,150.0,0,0,0
20,76,2012.0,190,19,3,1.6,0.0,98200.0,10400.0,0,132.0,0,0,0
5,96,2017.0,73,14,3,1.8,1.0,98000.0,15500.0,0,140.0,1,0,0
10,4,2019.0,99,4,3,1.4,0.0,78000.0,19000.0,1,150.0,0,1,0
17,19,2024.0,162,14,3,1.3,1.0,0.0,36000.0,1,175.0,0,0,0
25,43,2020.0,228,22,3,1.6,0.0,70000.0,21600.0,0,120.0,1,0,0
5,96,2014.0,73,19,3,1.8,0.0,110000.0,15500.0,1,140.0,1,0,0
33,95,2024.0,357,22,3,2.0,1.0,0.0,44000.0,0,200.0,0,0,0
5,96,2019.0,73,14,3,1.8,1.0,127000.0,16320.0,2,140.0,1,1,0
3,104,2020.0,33,14,3,2.0,1.0,103900.0,59999.0,0,252.0,1,1,0
1,63,2014.0,9,19,3,2.0,0.0,142000.0,22500.0,1,225.0,1,1,0
30,55,2012.0,292,8,3,2.5,0.0,164000.0,14000.0,1,165.0,1,0,0
28,26,2013.0,269,28,0,1.6,0.0,179553.0,11600.0,2,110.0,0,1,0
8,42,2011.0,95,19,3,2.4,0.0,137000.0,13500.0,1,170.0,1,0,0
23,14,2018.0,213,19,3,2.0,1.0,76000.0,73500.0,1,381.0,1,1,0
3,102,2019.0,30,14,3,2.0,1.0,112000.0,32500.0,1,192.0,1,1,0
33,82,2025.0,346,22,3,1.4,1.0,500.0,29920.0,0,150.0,0,0,0
26,0,2017.0,246,4,3,1.6,1.0,98000.0,13600.0,2,110.0,1,1,0
32,39,2019.0,324,4,0,2.8,1.0,105000.0,40640.0,0,177.0,1,0,0
33,82,2025.0,346,14,3,1.4,1.0,0.0,29840.0,2,150.0,0,0,0
11,28,2017.0,107,22,3,1.6,0.0,102077.0,15500.0,2,110.0,0,1,0
13,40,2017.0,126,14,3,1.8,1.0,68000.0,19600.0,1,121.0,0,0,0
28,26,2018.0,270,4,3,2.0,0.0,91000.0,16000.0,1,143.0,0,1,0
32,81,2018.0,340,14,0,2.8,1.0,87000.0,42500.0,0,204.0,1,0,0
31,37,2011.0,297,11,3,2.4,0.0,180000.0,13950.0,0,170.0,1,1,0
17,19,2025.0,162,19,3,1.3,1.0,0.0,36400.0,2,170.0,0,0,0
28,11,2018.0,267,23,3,1.6,0.0,80000.0,8160.0,0,110.0,1,1,0
11,86,2025.0,115,14,3,1.8,1.0,0.0,37280.0,2,105.0,1,0,0
32,20,2025.0,317,4,3,2.0,1.0,0.0,37390.0,2,170.0,0,0,0
32,20,2024.0,317,14,3,2.0,1.0,0.0,33600.0,0,170.0,0,0,0
33,83,2020.0,350,14,3,1.6,1.0,92000.0,20400.0,0,110.0,0,1,0
33,82,2022.0,346,2,3,1.6,0.0,13000.0,33900.0,0,120.0,0,0,0
5,97,2025.0,81,14,0,2.8,1.0,0.0,47600.0,2,200.0,1,0,0
11,28,2008.0,105,19,3,1.6,0.0,155000.0,7360.0,0,110.0,0,1,0
33,82,2024.0,346,11,3,1.4,1.0,1111.0,30800.0,0,150.0,0,0,0
