Marca,Modelo,Año,Versión,Color,Tipo de combustible,Motor,tiene_camara,Kilómetros,Precio,Tipo de vendedor,HP,is_4x4,is_manual,is_coupe
36,107,2013.0,409,13,3,2.0,1,141000.0,18500.0,1,200.0,1,1,0
18,23,2024.0,199,18,3,1.3,1,0.0,31600.0,0,170.0,0,0,0
18,42,2008.0,205,2,3,6.1,0,110000.0,29000.0,1,465.0,1,0,0
13,47,2019.0,157,4,3,1.8,1,49000.0,25200.0,0,154.0,0,0,0
10,71,2025.0,124,13,3,1.0,1,1000.0,11000.0,0,110.0,0,0,0
35,95,2023.0,393,4,0,2.8,1,7000.0,54000.0,0,204.0,1,0,0
35,25,2023.0,370,22,3,2.0,1,12000.0,30400.0,2,170.0,0,0,0
29,0,2025.0,297,13,3,1.0,1,0.0,32285.0,2,120.0,0,0,0
36,96,2024.0,398,13,3,1.4,1,0.0,34500.0,1,150.0,0,0,0
1,78,2021.0,17,13,3,3.0,0,43000.0,140000.0,2,340.0,1,0,0
5,110,2018.0,92,22,3,1.8,0,107000.0,15600.0,1,140.0,1,1,0
18,23,2025.0,200,4,3,1.3,1,0.0,35992.0,2,272.0,0,0,0
3,117,2019.0,34,13,3,2.0,1,59271.0,34900.0,0,192.0,1,1,0
6,11,2018.0,110,8,3,1.6,0,85000.0,14320.0,0,165.0,0,0,0
3,125,2014.0,60,4,3,3.0,0,112000.0,45000.0,1,306.0,1,0,0
5,110,2017.0,92,22,3,1.8,1,78000.0,13199.0,0,140.0,0,1,0
36,63,2024.0,397,13,3,1.0,1,1111.0,27600.0,1,116.0,0,0,0
31,32,2018.0,327,4,3,1.6,1,81000.0,16240.0,0,110.0,0,1,0
13,47,2018.0,158,18,3,1.8,1,95000.0,20400.0,0,185.0,0,0,0
29,0,2018.0,296,13,3,1.6,1,60000.0,15192.0,0,150.0,1,1,0
3,125,2012.0,60,2,3,3.0,0,155000.0,42000.0,0,306.0,1,0,0
13,47,2015.0,158,18,3,1.8,1,70000.0,19000.0,1,185.0,0,0,0
28,51,2017.0,276,21,3,1.6,1,98000.0,18000.0,0,120.0,1,0,0
5,110,2015.0,92,13,3,1.8,1,112000.0,12800.0,1,140.0,1,0,0
28,51,2019.0,275,13,3,1.6,1,101100.0,20760.0,2,120.0,0,0,0
31,52,2025.0,335,13,3,2.5,1,3000.0,37520.0,1,257.0,1,0,0
11,34,2007.0,132,18,3,1.6,0,190000.0,7200.0,0,110.0,0,1,0
