Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Con cámara de retroceso,Kilómetros,Título,Precio,Moneda,Descripción,Tipo de vendedor,HP,Tracción
Toyota,SW4,2022.0,srx 204c,Plateado,Diésel,5.0,AUTOMÁTICA,,,11900.0,Toyota SW4 SRX 204C,63500000.0,$,El vendedor no incluyó una descripción del producto,particular,,
Volkswagen,Nivus,2022.0,tsi comfortline l22,Gris,Nafta,5.0,AUTOMÁTICA,,Sí,49000.0,Volkswagen Nivus TSI COMFORTLINE AT L22,25000.0,US$,"Autos Pilar Premium te ofrece un amplio stock de más de 250 vehículos, incluyendo autos, pick-ups, SUV, motos y embarcaciones. Contamos con unidades premium en óptimas condiciones, con garantía de 3 meses, ampliable hasta 12 meses.Aceptamos múltiples formas de pago: propiedades, lotes, criptomonedas, transferencias bancarias, cheques y permutas, además de planes de financiación propios y bancarios. Nuestro objetivo es brindarte una experiencia de compra premium, respaldada por nuestra amplia oferta y flexibilidad en las transacciones.Ahora, con AP SHARE, llevamos la exclusividad a otro nivel: Accedé a vehículos de alta gama sin necesidad de compromiso con una sola unidad. Cambiá de modelo según el plan contratado, disfrutando siempre de distintos modelos con total previsibilidad. Olvidate de costos de transferencia y patentamiento. Disfrutá de un concepto innovador en Argentina, reservado para un grupo selecto. Manejá siempre algo nuevo, sin caer en la rutina.Somos Autos Pilar, somos Premium. ¡Conocenos!",concesionaria,,
Mini,Cooper Countryman,2024.0,countryman cooper s classic confort,Rojo,Nafta,5.0,AUTOMÁTICA,,Sí,0.0,Mini Countryman Cooper S Classic Confort Genco Mini,51900.0,US$,"Estimados Clientes:Consulte por finaciacionGarantia 3 años o 200.000 kmServicio SOS mientras el vehiculo conserve su garantia!Estamos ubicados en Rodriguez Peña 401 de Godoy Cruz, a la par del supermercado Makro.Concesionario oficial:BMW, MINI, BMW Motorrad, en Mendoza. Contamos con área de ventas de Usados.Contamos con servicio de PostVenta:- Talleres: con personal profesional altamente capacitado ofrecemos servicios mecánicos, como así también de estética automotriz, con personal altamente calificado, tecnología e insumos del más alto nivel para garantizar la calidad de nuestros servicios.- Sector de Repuestos y Accesorios: donde podrá conseguir todo lo necesario para su vehículo.Sin duda nuestra trayectoria nos respalda. No dude en contactarnos.",concesionaria,192.0,
Volvo,XC40,2024.0,p8 recharge,Gris,Eléctrico,5.0,AUTOMÁTICA,,Sí,0.0,Volvo Xc40 P8 Awd Recharge Ultimate Dark,89000.0,US$,"Nuevo VOLVO XC40 P8 AWD RECHARGEDiseño, Seguridad y Tecnología cuidando el medio ambiente.100% Eléctrico.Potencia: 408 hp. Torque: 660 NmTracción AWDAutonomía uso mixto aprox 420 kmIntellisafe - Conjunto de tecnologías de asistencia para tu seguridadPilot Assist - Conjunto de tecnologías capaces de proporcionar una conducción asistida hasta 130 km/h P Blis - Sistema de información para punto ciego con alerta de tráfico cruzado Soporte de Mitigación de colisión trasera Google Service Panel de instrumentos digital 12,3"" Cargador de smartphone inalámbrico Sistema de audio Harman KardonSensor delantero y trasero, con cámara 360° Asientos de Cuero Nubuck calefaccionados Luces delanteras LED activas con Sistema Cornering LightsTecho panoramico eléctricoGIORGI AUTOMOTORES S.A.Concesionario Ofiicial VOLVO en RosarioPERMUTAS / FINANCIACION / LEASING",concesionaria,408.0,4x4
BAIC,X55,2025.0,x luxury,Blanco,Nafta,5.0,AUTOMÁTICA,,No,500.0,Baic X 55 Luxury Cvt 2025,41000.0,US$,"************FERNANDEZ AUTOS Usados y 0km de todas las marcas!Seguinos en redes!************* FINANCIACIONES Financiamos hasta el 60% del valor publicado en cuotas fijas solo presentando tu DNI!* PERMUTASTomamos tu usado en parte de pago, vehiculos con un maximo de 10 años de antiguedad y menos de 100.000kms!* GESTORIAContamos con gestoria propia para ofrecer mayor seguridad a la hora de transferir tu vehiculo! * CONSIGNACIONESVendemos tu auto en menos de 30 dias, te garantizamos la transferencia y te entregamos el dinero en efectivo!* ESPERAMOS TU CONSULTA VIRTUAL O PRESENCIAL EN NUESTRO CONCESIONARIO!",concesionaria,,
Peugeot,3008,2023.0,gt pack hibrid,Blanco,Híbrido/Nafta,5.0,AUTOMÁTICA,,,60000.0,Peugeot 3008 Gt Pack Hybrid 4,43500.0,US$,Impecable de donde lo mires. 4 cubiertas recién colocadas. Acepto ofertas razonables. Soy particular.,particular,,
Land Rover,Evoque,2013.0,si4,Blanco,Nafta,5.0,,,,113500.0,Range Rover Evoque,33000.0,US$,El vendedor no incluyó una descripción del producto,concesionaria,,
Ford,Bronco,1981.0,v8,Marrón,Nafta,2.0,MANUAL,,,1111111.0,Ford Bronco V8,65000.0,US$,2 dueños únicamenteÚnica x su estado100X100 originalMotor v8 302 caja manualLlantas American Racing nuevas 10cubiertas bf goodrich 35/12.5/15,concesionaria,,
BMW,X1,2019.0,sdrive i,Blanco,Nafta,5.0,AUTOMÁTICA,,Sí,63224.0,BMW X1 Sdrive 18 I,37500.0,US$,VENDO: BMW X1 - SDRIVE 1.8i TURBO ACTIVE AÑO 2019 - 63.224 KMS.SERVICE REALIZADO EN BREMEN SA - EL 02-01-2025 - ver foto - PRÓXIMO 01-01-2027SE LE REALIZÓ: CAMBIO DE FILTRO DE ACEITE Y AIRE Y CONTROL DE FLUIDOS.CAMBIO DE ACEITE DE LA CAJA AUTOMÁTICA ( EL PRÓXIMO EN 50.000 KMS)CONTROL DE SISTEMA DE AVISOS - DIAGNOSTICO E INSPECCIÓN DEL VEHÍCULO.TIENE 4(CUATRO) CUBIERTAS NUEVAS MICHELIN 225/50 R18 PRIMACY - RUN FLATCAMBIADAS A LOS 55.600 KMS.SE REALIZÓ EL CAMBIO DE LA PANTALLA POR UN STEREO MULTIMEDIA BMW X1 EVO.CARPLAY -ANDROID AUTO - SISTEMA PLUG AN PLAY ( SE ENTREGA PANTALLA ORIGINAL) - CÁMARA DE REVERSA.SISTEMA DE RECUPERO VEHICULAR LO JACK PAGO HASTA NOVIEMBRE 2025VTV VIGENTE HASTA MAYO 2026 .ASEGURADA EN FEDERACIÓN PATRONAL CONTRA TODO RIESGO.PINTURA ORIGINAL DE FABRICA - INMACULADA - CONSIDERO LA MEJOR.DE TODO LO DESCRIPTO CUENTO CON FACTURAS DE RESPALDO.NO ACEPTO PERMUTA. AGENCIAS / REVENDEDORES FAVOR ABSTENERSE.,particular,,
Volkswagen,Nivus,2021.0,200 tsi comfortline l20,Blanco,Nafta,5.0,AUTOMÁTICA,,Sí,107256.0,Volkswagen Nivus 200 TSI COMFORTLINE AT L20,22800000.0,$,El vendedor no incluyó una descripción del producto,concesionaria,,
