Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Con cámara de retroceso,Kilómetros,Precio,Tipo de vendedor,HP,Tracción
volkswagen,tiguan,2013.0,sport style tsi,Gris plata,Nafta,5.0,manual,2.0,1,141000.0,18500.0,particular,200.0,4x4
jeep,compass,2024.0,sport,Negro,Nafta,5.0,automatica,1.3,1,0.0,31600.0,concesionaria,170.0,4x2
jeep,grandcherokee,2008.0,srt,Azul,Nafta,5.0,automatica,6.1,0,110000.0,29000.0,particular,465.0,4x4
honda,hrv,2019.0,ex,Blanco,Nafta,5.0,automatica,1.8,1,49000.0,25200.0,concesionaria,154.0,4x2
fiat,pulse,2025.0,audace,Gris plata,Nafta,5.0,automatica,1.0,1,1000.0,11000.0,concesionaria,110.0,4x2
toyota,sw4,2023.0,srx,Blanco,Diésel,5.0,automatica,2.8,1,7000.0,54000.0,concesionaria,204.0,4x4
toyota,corollacross,2023.0,xei,Rojo,Nafta,5.0,automatica,2.0,1,12000.0,30400.0,tienda,170.0,4x2
peugeot,2008,2025.0,gt,Gris plata,Nafta,5.0,automatica,1.0,1,0.0,32285.0,tienda,120.0,4x2
volkswagen,taos,2024.0,250 tsi comfortline,Gris plata,Nafta,5.0,automatica,1.4,1,0.0,34500.0,particular,150.0,4x2
audi,q8,2021.0,tfsi,Gris plata,Nafta,5.0,automatica,3.0,0,43000.0,140000.0,tienda,340.0,4x4
chevrolet,tracker,2018.0,ltz,Rojo,Nafta,5.0,manual,1.8,0,107000.0,15600.0,particular,140.0,4x4
jeep,compass,2025.0,t270 series,Blanco,Nafta,5.0,automatica,1.3,1,0.0,35992.0,tienda,272.0,4x2
bmw,x1,2019.0,sdrive 20i sportline,Gris plata,Nafta,5.0,manual,2.0,1,59271.0,34900.0,concesionaria,192.0,4x4
citroen,c4cactus,2018.0,thp 165 shine,Celeste,Nafta,5.0,automatica,1.6,0,85000.0,14320.0,concesionaria,165.0,4x2
bmw,x6,2014.0,35i sportive,Blanco,Nafta,5.0,automatica,3.0,0,112000.0,45000.0,particular,306.0,4x4
chevrolet,tracker,2017.0,ltz,Rojo,Nafta,5.0,manual,1.8,1,78000.0,13199.0,concesionaria,140.0,4x2
