Unnamed: 0,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Con cámara de retroceso,Kilómetros,Título,Precio,Moneda,Descripción,Tipo de vendedor
16232,Mitsubishi,Montero,1997.0,2.8 Gls I Tc,Azul,Diésel,5.0,Automática,2.8,SUV,,250000.0,Mitsubishi Montero 2.8 Gls I Tc,23900.0,US$,3 puertas! full 2.8 TDIcaja manualMuy bien cuiada y mantenida,concesionaria
14334,Jeep,Compass,2025.0,1.3 T270 Serie-S 4X2 At6,Gris,Nafta,5.0,Automática,1.3,SUV,Sí,0.0,Jeep Compass 1.3 T270 Serie-S 4X2 At6,39963000.0,$,"SPORT CARS Concesionario oficial Jeep/Chrysler/RAMLíder en ventas a nivel nacional.MEJOR PRECIO Y MEJORES CONDICIONES DEL MERCADO!!!STOCK PARA ENTREGA INMEDIATA!!!PODES FINANCIAR SOBRE PRECIO DE CONTADO $12.000.000- CUOTAS FIJAS TASA 0% SIN INTERES ENTREGA INMEDIATA (VALOR PUBLICADO CORRESPONDE AL ANTICIPO QUE INCLUYE FLETE, FORMULARIO, PATENTAMIENTO, QUEBRANTO Y PRENDA) PUESTA EN CALLE Contamos con financiación a tasas preferenciales.Solo tomamos usados radicados en provincia de Buenos Aires y CABA.Ejecutivo de ventas: DARIO SELEME",tienda
5235,Renault,Duster,2018.0,1.6 Ph2 4x2 Dynamique,Gris,Nafta,5.0,Manual,1.6,SUV,,58000.0,Renault Duster 1.6 Ph2 4x2 Dynamique,17500000.0,$,"***** ATENCION******USADOS SELECCIONADOS***EL VALOR DE LA PUBLICACION ES DE CONTADO , CONSULTAR POR NUESTROS DIFERENTES TIPOS DE FINANCIACIONES!!!!!* Mejoramos cualquier presupuesto del país * *financiacion en cuotas fijas o variables** NAVE MOTORS ** Concesionario con mas de 10 años de experiencia en vehiculos citroën **tenemos la mejor financiacion del mercado** El asesoramiento personalizado, calidad de servicio, buena atención, responsabilidad y transparencia son nuestros principales atributos para que tengas la mejor experiencia de compra ** NO DUDES Y CONSÚLTANOS ANTES DE DECIDIRTE *SIEMPRE CON ¡ENTREGA INMEDIATA!* RETIRA YA TU 0KM CON UN MÍNIMO ANTICIPO y SOLO CON DNI * (FINANCIACIÓN + DESCUENTO) * * * (FINANCIACIÓN + DESCUENTO *",tienda
5053,Audi,Q7,2012.0,3.0 Tfsi 333cv Tiptronic Quattro,Negro,Nafta,5.0,Automática,3.0,SUV,,85000.0,Audi Q7 3.0 Tfsi 333cv Tiptronic Quattro,29900.0,US$,"AUTOMIX ALTAGAMA PRECIO SOLO DE CONTADO u$31500dolar billetePermuta 33000ESTAMOS UBICADOS SOBRE AV RIVADAVIA EN RAMOS MEJIA, COORDINAMOS TURNO MEDIANTE LLAMADA O WP, HORARIOS Y DIAS COMERCIALES.Vendo Audi Q7 3.0t QUATTRO, LINEA NUEVA, volante perforado, tablero blanco, audio bose 3 FILAS DE ASIENTOS, tapizados de cuero sin detalles, LLANTAS 20” CON CUBIERTAS okm, camara reversa, suspensión adaptativa, opticas con leds, climatización bizona, portón eléctrico, techo solar open sky x3, funciona todo, impoluta.",concesionaria
4967,Volkswagen,Taos,2025.0,1.4 250 Tsi Highline,Gris,Nafta,5.0,Automática,1.4,SUV,,0.0,Volkswagen Taos 1.4 250 Tsi Highline,44199999.0,$,"CONCESIONARIO OFICIAL VOLKSWAGEN ALRAEL PRECIO PUBLICADO CORRESPONDE A UNA OPERACION CONTADO EFECTIVO + FORMULARIOSEDUARDO QUIROGA-ASESOR COMERCIAL-CERTIFICADO POR VW INTERNATIONAL CENTER***** EXPERIENCIA 5 ESTRELLAS *****+ ENTREGA INMEDIATA+ MAS DE 400 AUTOS EN STOCK PERMANENTE¡CONCESIONARIO # 1 EN VENTAS!Con más de 38 años en el mercado.En Alra Volkswagen priorizamos tu experiencia de compra para que sea 5 estrellas *****------------------------------------------------------------------------------------------------------------> NUEVA VOLKSWAGEN TAOS <LLEVATELA CON LA EXCLUSIVA FINANCIACION DE VW!COMPRA TU NUEVA TAOS CON NOSOTROS, PODEMOS OFRECERTE:+ COMPRA ONLINE+ COLORES A ELECCIÓN+ AMPLIO STOCK+ MEJORES PRECIOS+ ENTREGA INMEDIATA+ VENDEMOS A TODO EL PAIS+ EMITIMOS FACTURA PROFORMA+ FINANCIA SOLO CON DNI CUOTAS FIJAS+ RECIBIMOS SU USADO DE TODAS LAS MARCAS AL MEJOR PRECIO",tienda
6909,Jeep,Commander,2025.0,2.0 Td380 At9 4x4 7pas Limited,Negro,Diésel,5.0,Automática,2.0,SUV,,0.0,Jeep Commander 2.0 Td380 At9 4x4 7pas Limited,59300000.0,$,"¡TU JEEP COMMANDER TE ESTA ESPERANDO EN SPORT CARS JEEP!Si estas buscando una SUV que combine diseño, tecnología y robustez, LA JEEP COMMANDER ES TU MEJOR ELECCION. Y no hay mejor lugar para encontrarla que en SPORT CARS JEEP, una de las concesionarias mas grandes y confiables del pais.¿PORQUE ELEGIR SPORT CARS JEEP?* 40 años de trayectoria en el mercado automotor, brindando confianza, respaldo y compromiso en cada operación.* Somos concesionario oficial jeep, con atención especializada y asesoramiento profesional en cada etapa de tu compra.* Contamos con altísimos estándares de calidad de atención al cliente: nuestro equipo esta capacitado para brindarte una experiencia personalizada, clara y sin vueltas.* Tenemos uno de los mayores stock del pais y posibilidades reales de entrega inmediata.* Te ofrecemos planes de financiación exclusivos, toma de usado al mejor valor y promociones únicas.* Miles de clientes satisfechos nos eligen año tras año por nuestra seriedad y dedicación.¿QUE TRAE LA NUEVA JEEP COMMANDER?* Estilo sofisticado y diseño robusto.* Tecnología de ultima generación con conectividad total.* Interior amplio, cómodo y con terminaciones premium.* Excelente performance tanto en ciudad como en ruta.VENI A SPORT CARS JEEP Y LLEVATE LA SUV QUE SOÑAS CON LA CONFIANZA DE ESTAR EN LAS MEJORES MANOS.¡ Consulta ahora y descubrí una experiencia de compra a otro nivel!Florencia Vasquez",tienda
3135,Hyundai,Tucson,2020.0,2.0 C/techo,Amarillo,Nafta,5.0,Automática,2.0,SUV,,106368.0,Hyundai Tucson 2.0 C/techo,34900000.0,$,"NORTHVILLE PILARPARA MAYOR RAPIDEZ EN LA RESPUESTA, SE VALORA CONTACTO POR WHATSAPP.FINANCIA CON BANCO MACRO $12.000.000 EN 12 CUOTAS DE $1.000.000 ( CLIENTES SELECT )FINANCIA CON CREDITOS PRENDARIOS $12.000.000 TASA 0% , CONSULTA Y TE ENVIAMOS LA SIMULACIÓN EN EL ACTOGESTORIA: Nosotros nos encargamos de todo el tramite, contamos con un equipo de gestores matriculados para que de lo único que te ocupes sea de disfrutar del vehículo.SEGUROS: Tenemos los mejores convenios con las compañias lideres en el pais , te aseguramos la mejor cotizacion siempre.ACCESORIOS: personaliza tu vehículo con la mejor propuesta del mercado , productos de primeras marcas. Contamos con un taller de ploteo integral , TODOS LOS PRODUCTOS TIENEN GARANTIA ! el auto que soñas , lo hacemos realidad !!OPCIONES DE PAGO:* AL CONTADO: Paga vía transferencia bancaria o depósito.*DEJA TU AUTO COMO PARTE DE PAGO: Tomamos usados con los mejores estandares de toma , hace una operacion facil y cambia el auto que tenes por el auto que queres !*FINANCIACIÓN: Contamos con opciones de credito prendario y aseguramos a las mejores tasas del mercado ! CREDITOS UVA O CON CUOTA FIJA , vos elegis.TE INTERESO ESTE VEHICULO ? CONTACTANOS YA MISMO !!RECORDA QUE TU CONSULTA NO MOLESTA.",tienda
1784,Honda,HR-V,2019.0,1.8 Ex-l 2wd Cvt,Negro,Nafta,5.0,Automática,1.8,SUV,No,153000.0,Honda HR-V 1.8 Ex-l 2wd Cvt,27600000.0,$,"Descubre nuestro impresionante Honda Hrv del año 2019  en color Negro !Este SUV de confianza te brinda una combinación perfecta de estilo, rendimiento y versatilidad. Con solo 153000  km, este vehículo está listo para superar cualquier desafío que se le presente.En nuestra agencia, nos enorgullece ofrecer una amplia gama de vehículos multimarca, y el Honda Hrv  es una de nuestras opciones destacadas. Nuestro equipo de expertos estará encantado de brindarte toda la información que necesites sobre este modelo y ayudarte a encontrar el vehículo perfecto que se ajuste a tus necesidades y preferencias.Este Honda Hrv  se encuentra en excelente estado y está listo para rodar y transferir.Ofrece un gran valor por su precio su robustez y durabilidad son características emblemáticas de la marca, asegurándose una inversión a largo plazo.No pierdas esta oportunidad de tener el vehículo perfecto para tus necesidades¡Ven a visitarnos y descubre todo lo que esté Honda Hrv 2019 tiene para ofrecerte!Tomamos autos en parte de pago como permuta y en consignación para asegurarnos que tu proxima compra sea mas facil y placentera.",concesionaria
2787,Volkswagen,Taos,2025.0,1.4 250 Tsi Comfortline,Blanco,Nafta,5.0,Automática,1.4,SUV,,0.0,Volkswagen Taos 1.4 250 Tsi Comfortline,38990000.0,$,"SOMOS HAUSWAGEN - CONCESIONARIO OFICIAL VOLKSWAGEN con más de 26 años de trayectoria en el país.VOLKSWAGEN TAOS COMFORTLINE 250TSI AT -MANEJAMOS AMPLIO STOCK PARA ENTREGA INMEDIATATENEMOS EL MEJOR PRECIO DE CONTADOENTREGA TU USADO EN PARTE DE PAGO AL MEJOR PRECIO DEL MERCADOFINANCIA LA DIFERENCIA CON UNA CONVENIENTE TASA, EN CUOTAS FIJAS Y EN PESOS.Atendemos de una manera personalizada a todo el país: Asesora comercial Agustina Prusso",tienda
7640,Jeep,Compass,2025.0,1.3 T270 Limited 4X2 At6,Gris,Nafta,5.0,Automática,1.3,SUV,,0.0,Jeep Compass 1.3 T270 Limited 4X2 At6,46000000.0,$,"ENTREGA INMEDIATA!- Okm a patentar - Consulta por Financiacion con Anticipo y cuotas, creditos prendario o de la Marca- Colores a Eleccion sujeto a disponibilidad Somos una empresa con mas de 10 años de trayectoria.Brindamos atención personalizada en todo el proceso administrativo.¡ContactanosTu consulta no molesta. Estamos Ubicados en Zona Palermo Multimarca OKM Y USADOS Att AUTODEAL",concesionaria
